links,count
1959,6
9670,1
1958,7
1953,12
1952,6
1955,2
1954,6
1965,6
1964,4
1967,5
9678,1
59532,1
1966,7
1961,6
1960,7
1963,5
1962,3
1942,6
17238,1
1943,12
1940,11
1941,7
1938,9
9715,1
1939,15
1936,12
1937,6
1950,4
17247,1
1951,4
1948,5
1949,7
9722,1
1946,5
1947,6
1944,4
1945,8
9703,1
1927,9
1926,6
24868,1
1925,10
1924,12
1923,10
36352,1
9698,1
1922,15
1921,10
1920,11
1935,8
1934,11
1933,6
1932,6
1931,10
1930,7
1929,13
1928,9
2200,5
2201,5
2202,6
19546,1
2203,6
2204,7
2205,6
11005,1
2206,6
2207,4
2192,3
2193,1
2194,4
10995,1
2195,8
2196,10
2197,6
2198,2
2199,3
2185,5
2184,3
2187,7
2186,3
72587,1
2189,2
2188,4
2191,3
2190,7
2177,8
2176,5
2179,4
2178,4
2181,4
33031,1
2180,4
2182,5
2234,4
2235,6
2232,5
2233,4
2238,4
2239,4
2236,1
2237,4
2226,4
2227,1
2224,2
2225,5
2230,3
2231,3
2228,2
2229,4
2219,6
2218,2
2217,5
2216,3
2223,8
10959,1
10958,1
2222,5
2221,1
2220,4
2211,3
2210,1
2209,8
2208,4
2215,1
2214,3
2213,3
2212,6
2268,22
2269,19
2270,15
2271,20
2264,4
2265,19
2266,28
2267,20
2260,8
2261,4
10933,1
2262,1
2263,4
2256,4
2257,3
19475,1
2258,4
2259,4
2253,1
2252,2
2255,2
2254,4
2249,3
19464,1
2248,7
19466,1
2251,7
2250,2
2245,5
2244,5
2247,6
2246,1
2241,2
2240,3
2243,3
2242,2
2302,1
2303,4
2300,5
10908,1
2301,4
2298,6
2299,7
2296,3
2297,6
2294,10
2295,6
2292,5
2293,7
2290,7
2291,8
2288,5
2289,5
2287,4
10894,1
2286,12
2285,9
2284,13
2283,10
2282,11
2281,11
2280,10
2279,9
2278,12
2277,11
2276,8
2275,9
2274,11
10881,1
2273,13
2272,12
2065,5
2064,2
2067,5
2066,3
2069,7
2068,4
2071,3
2070,4
10873,1
19672,1
2073,9
2072,7
2075,7
2074,9
2077,1
2076,4
10879,1
2079,4
2078,6
19649,1
2048,5
2049,3
19648,1
2050,4
2051,7
2053,5
2054,6
10855,1
2055,4
2056,3
10856,1
2057,6
2058,4
120398,1
2059,7
2060,8
2061,5
10862,1
2063,3
2099,2
2097,5
2096,2
2103,2
2102,4
2101,5
2100,5
10843,1
2107,4
10842,1
2106,3
2105,4
19705,1
10840,1
2104,3
2111,3
2110,5
2109,4
2108,3
2082,5
2083,5
2080,8
2081,7
2086,8
2087,7
10820,1
2084,4
2085,3
2090,8
2091,6
2088,6
50539,1
10825,1
2089,3
2094,6
2095,3
2092,6
10829,1
2093,5
2133,5
2132,3
10804,1
10807,1
2135,3
2134,2
2129,9
2128,3
2131,2
2130,2
2141,6
2140,3
2143,6
2142,1
2137,6
2136,3
2139,3
2138,4
2116,2
2117,5
2118,5
2119,4
2112,3
2113,9
2114,3
2115,5
2124,7
2125,2
10797,1
2126,4
2127,3
2120,1
2121,8
2122,1
2123,7
2167,7
2166,3
2165,7
2164,5
2163,3
2162,2
10769,2
2161,4
2160,4
2175,7
2174,5
19644,1
2173,6
2172,3
2171,2
10779,1
2170,8
2169,4
2168,2
2150,4
2151,6
2148,2
2149,4
2146,7
2147,6
2144,8
2145,6
2158,5
2159,2
2156,4
2157,6
2154,9
2155,4
2152,1
2153,3
2443,3
2442,6
2441,1
2440,2
2447,1
2446,4
2445,1
2444,7
2435,1
19776,1
2433,6
41571,1
2432,3
2439,5
2438,3
2437,3
2436,1
2458,5
2459,2
2456,1
2457,6
2462,3
2463,6
2460,3
2461,2
2450,3
2451,6
2448,4
2449,3
2454,1
2455,2
2452,4
2453,1
2473,4
11209,1
2472,3
2475,2
2474,1
11213,1
2477,5
2476,3
2479,1
2478,1
2465,1
2464,2
2467,1
2466,7
2469,3
2468,5
2471,3
2470,1
2488,2
2489,2
2491,2
2493,3
2494,1
2495,3
2480,3
2481,3
2482,4
11218,1
2483,3
2484,3
2485,2
32822,1
2486,3
2487,1
2511,3
2510,2
2509,2
2508,3
2507,5
41513,1
2506,4
11178,1
2505,5
2504,4
11175,1
2503,6
2502,11
2501,6
2500,2
2499,4
2498,8
2497,4
2496,2
2526,3
2527,2
2524,3
11197,1
2525,2
32857,1
2522,5
2523,1
2520,1
2521,4
2518,1
2516,4
2517,2
2514,4
2515,3
2512,6
2541,2
2540,1
2543,5
2542,3
2537,3
2536,4
2539,4
2538,1
2533,1
2532,5
2535,1
89632,1
2534,5
2529,4
2528,9
2531,18
2530,2
2556,3
11164,2
2557,1
2558,1
11166,1
19775,1
2559,3
2552,3
2553,1
2554,3
2555,3
2548,2
32886,1
2549,2
2550,7
2551,3
2544,1
2545,1
2546,1
2306,8
2307,3
2304,1
2305,7
28576,1
2310,4
2311,3
2308,7
2309,3
2314,1
